DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Year,Month,Hour
2020-05-02,2000,Harbor,BATTERY - SIMPLE ASSAULT,50,M,H,2020,2020-05-01,20
2020-11-02,1730,Southwest,BATTERY POLICE (SIMPLE),19,X,X,2020,2020-11-01,17
2020-06-21,600,Harbor,BATTERY - SIMPLE ASSAULT,52,F,W,2020,2020-06-01,6
2020-01-12,1125,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",47,F,H,2020,2020-01-01,11
2020-10-15,1750,Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,H,2020,2020-10-01,17
2020-11-22,1845,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",22,M,H,2020,2020-11-01,18
2020-04-16,2140,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",29,M,H,2020,2020-04-01,21
2020-05-15,200,Hollywood,BATTERY - SIMPLE ASSAULT,30,M,B,2020,2020-05-01,2
2020-08-24,900,Wilshire,BATTERY - SIMPLE ASSAULT,64,M,H,2020,2020-08-01,9
2020-06-02,1500,Hollywood,BATTERY POLICE (SIMPLE),35,M,X,2020,2020-06-01,15
2020-12-04,840,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",59,M,O,2020,2020-12-01,8
2020-06-25,1730,West LA,BATTERY - SIMPLE ASSAULT,38,M,B,2020,2020-06-01,17
2020-04-20,2200,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,M,O,2020,2020-04-01,22
2020-07-04,100,West Valley,BATTERY - SIMPLE ASSAULT,26,F,H,2020,2020-07-01,1
2020-10-17,410,Wilshire,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",41,M,O,2020,2020-10-01,4
2020-07-10,2130,Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,H,2020,2020-07-01,21
2020-05-30,2300,West Valley,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",19,M,H,2020,2020-05-01,23
2020-12-19,2050,Harbor,BATTERY - SIMPLE ASSAULT,27,F,H,2020,2020-12-01,20
2020-12-04,2000,Harbor,BATTERY - SIMPLE ASSAULT,14,F,H,2020,2020-12-01,20
2020-10-25,1830,Southwest,BATTERY - SIMPLE ASSAULT,41,F,W,2020,2020-10-01,18
2020-04-25,1700,West LA,BATTERY - SIMPLE ASSAULT,45,M,O,2020,2020-04-01,17
2020-11-27,1945,Wilshire,BATTERY - SIMPLE ASSAULT,32,M,W,2020,2020-11-01,19
